index,NCT,Sponsor,Title,Summary,Start_Year,Start_Month,Phase,Enrollment,Status,Condition
3597,NCT00120536,Novartis,Efficacy and Safety of Three Doses of Vildagliptin in Drug Naive Patients With Type 2 Diabetes,"The purpose of this study is to assess the long term safety and effectiveness of three doses of vildagliptin, an unapproved drug, compared to placebo in lowering overall blood glucose levels in people with type 2 diabetes who have not previously been treated with drug therapy to lower their blood sugar.",2005,6,Phase 3,288,Completed,"Diabetes Mellitus, Type 2"
3598,NCT00121316,Novartis,"Safety and Efficacy of Pimecrolimus Cream 1% in Mild to Moderate Head and Neck Atopic Dermatitis (AD) of Patients Intolerant to, or Dependant on, Topical Corticosteroids","This study is not being conducted in the United States. Patients who are intolerant of topical corticosteroids (TCS) have either experienced an adverse event resulting from the use of TCS, or require unacceptable levels of exposure to TCS in order to control their AD. This is of particular concern for patients with recurrent flares on delicate skin areas such as the head and neck. The purpose of this study is to investigate whether pimecrolimus cream 1%, a non-steroidal anti-inflammatory drug, is efficacious in treating mild to moderate head and neck AD in patients who are intolerant of, or dependent on topical corticosteroids.",2004,10,Phase 4,200,Completed,"Dermatitis, Atopic"
3599,NCT00121381,Novartis,Pimecrolimus Cream 1% Plus Topical Corticosteroid in Patients (2-17 Years of Age) With Severe Atopic Dermatitis,"Atopic dermatitis, also called eczema, is characterized by redness, papulation (skin elevation) and pruritus (skin itching). The active ingredient of pimecrolimus inhibits the T-cell activation. These cells are involved in the inflammatory component of the disease. This study will test the safety of pimecrolimus Cream 1% with topical corticosteroid treatment (commonly used in eczema) in patients with severe atopic dermatitis.",2005,5,Phase 4,400,Completed,"Dermatitis, Atopic"
3600,NCT00124280,Novartis,"Open Label, Non-randomized, Phase 2 Study Investigating the Effect of RAD001 Monotherapy in Patients With Advanced NSCLC Previously Treated With Either Chemotherapy Only or With Chemotherapy and EGFR Inhibitor(s)","This study will evaluate the efficacy and safety of everolimus treatment of patients with advanced NSCLC. The rationale for investigating everolimus in advanced NSCLC previously treated with chemotherapy or chemotherapy plus EGFR inhibitors, like gefitinib or erlotinib, is based on following: - The medical need for the better therapy for advanced NSCLC and limited efficacy of the currently available therapy in advanced NSCLC. - Postulated association of relevant cell-signaling pathways targeted by everolimus with different aspects of oncogenesis, disease progression, and response/resistance to treatment. - Effectiveness of everolimus and rapamycin in preclinical models of lung cancer - Early reports of clinical responses to monotherapy with mTOR inhibitors in advanced NSCLC. There is evidence that an enhanced PI3K/Akt/mTOR pathway, which is inhibited by everolimus, may be one of the key changes accounting for different aspects of oncogenesis, disease progression, and response/resistance to NSCLC cancer treatment. The use of the mTOR inhibitor everolimus in treatment of advanced NSCLC would be a novel therapeutic approach that proposes to logically manipulate the cell's regulatory pathways to enable control of tumor growth.",2005,7,Phase 2,85,Completed,"Carcinoma, Non-Small-Cell Lung"
3601,NCT00124709,Novartis,"An Investigation of the Safety and Efficacy of Elidel® 1% Cream in Atopic Disease Modification, Assessed in a 3-year Randomized Double-blind Vehicle Controlled Phase to Evaluate Effects on Atopic Dermatitis in Infants, and a 2-3 Year Open-label Phase to Evaluate the Effect of Early Intervention Versus Delayed Intervention With Elidel® on the Incidence of Asthma in Children","This study consists of a 3-year double-blind phase during which patients will receive atopic dermatitis (AD) treatment either with pimecrolimus cream 1% long-term management (LTM) or with a conventional corticosteroid-based treatment (1:1 ratio), followed by a 2 to 3-year open-label (OL) phase (all patients receiving pimecrolimus cream 1% LTM). At the end of the double-blind phase, the two treatment groups will be compared with respect to their efficacy in controlling AD; at the end of the OL phase, the incidence of asthma at the age of 6 years will be compared.",2003,10,Phase 4,1091,Terminated,"Dermatitis, Atopic"
3602,NCT00124748,Novartis,"A Randomized Open-label Study of 400 mg Versus 800 mg of Imatinib Mesylate in Patients With Newly Diagnosed, Previously Untreated Chronic Myeloid Leukemia in Chronic Phase (CML-CP) Using Molecular Endpoints.","This study investigated the safety and efficacy of 400mg Versus 800mg imatinib in patients with newly diagnosed, previously untreated chronic myeloid leukemia in chronic phase (CML-CP) using molecular endpoints.",2005,6,Phase 3,476,Terminated,"Leukemia, Myeloid, Chronic-Phase"
3603,NCT00125125,Novartis,Efficacy and Tolerability of Fluvastatin in Adults With Dislipidemia With History of Muscle Problems Due to Other Previous Statin Intake,"The purpose of the study is to find a good therapy for patients who need to be treated for high cholesterol and who have difficulty tolerating other statins (such as pravastatin, simvastatin, lovastatin, atorvastatin, rosuvastatin) due to muscle pain.",2005,5,Phase 4,218,Completed,Dyslipidemias
3604,NCT00125346,Novartis,"A Randomized, Double-Blind, Placebo-Controlled, Multicenter, Phase 3 Trial to Assess the Efficacy and Safety of Tobramycin Inhalation Powder (TIP) in Cystic Fibrosis (CF) Subjects","Lung infections are a chronic problem for patients with cystic fibrosis (CF). Some patients with CF may have a type of bacteria called Pseudomonas aeruginosa in their lungs that can cause infections or make their symptoms worse. Tobramycin inhalation solution (TOBI) is an approved antibiotic, which is inhaled directly into the lungs, and can be used to manage these infections. Tobramycin inhalation powder (TIP) is a new, experimental powder formulation of tobramycin that is inhaled directly into the lungs using a T-326 inhaler. The purpose of this research study is to determine if TIP is safe and effective when compared to placebo (a powder with no medicine) treatment.",2005,9,Phase 3,98,Terminated,Cystic Fibrosis
3605,NCT00127270,Novartis,Using Behavioral Therapy in Combination With Drug-Darifenacin for Symptoms of Overactive Bladder,This study is designed to investigate the efficacy and safety of treatment of overactive bladder with darifenacin administered alone or in conjunction with behavioral modification therapies.,2005,5,Phase 4,395,Completed,Urinary Incontinence
3606,NCT00128232,Novartis,Safety and Efficacy of Octreotide LAR in Treatment Naïve Acromegalic Patients,"Currently, the first line treatment for acromegaly is surgery, in order to remove the adenoma causing overproduction of growth hormone which leads to acromegaly. Octreotide LAR is approved for treatment of acromegaly after surgery if the disease is not controlled. This study was aimed to test the safety and efficacy of octreotide LAR in acromegalic patients who did not have any previous treatment for acromegaly.",2002,12,Phase 3,100,Completed,Acromegaly
3607,NCT00128245,Novartis,"A 24-Week Randomized, Double-Blind, Multicenter, Parallel-Group, Placebo-Controlled Evaluation of the Safety and Efficacy of 0.3% and 1% Pimecrolimus Ophthalmic Suspensions Used Twice Daily in Patients With Moderate to Severe Keratoconjunctivitis Sicca","This study evaluates the efficacy and safety of 2 doses of pimecrolimus (0.3% and 1%) ophthalmic suspension in a moderate to severe population of keratoconjunctivitis sicca (KCS, dry eye syndrome) patients.",2004,9,,440,Completed,Keratoconjunctivitis Sicca
3608,NCT00128544,Novartis,"A Randomized, Blinded, Phase IIb Trial of Telbivudine (LdT) Versus the Combination of Telbivudine and Valtorcitabine (Val-LdC) in Patients With Chronic Hepatitis B",This study is being conducted to compare the effectiveness of the combination of valtorcitabine and telbivudine to telbivudine alone in patients with chronic hepatitis B.,2005,5,Phase 2,130,Completed,Hepatitis B
3609,NCT00129818,Novartis,A Study to Evaluate the Effect of Famciclovir in Reducing Herpes Virus Shedding,"The study is designed to assess the efficacy and safety of famciclovir 250 mg twice a day (bid) suppressive treatment in men and women with herpes virus type 2 (HSV-2) infection, with and without a reported history of genital herpes and with or without herpes virus type 1 (HSV-1) seropositivity.",2004,7,Phase 4,0,Completed,Herpes Genitalis
3610,NCT00129831,Novartis,Dose Escalation Study to Assess the Safety and Tolerability of Incremental Doses of QAB149 in Adults With Mild-to-moderate Chronic Obstructive Pulmonary Disease (COPD),"The purpose of this study is to determine the safety and tolerability of single doses of QAB149 up to 3000 µg delivered via a single-dose, dry powder inhaler in patients with mild to moderate COPD.",2004,9,Phase 2,6,Completed,"Pulmonary Disease, Chronic Obstructive"
3611,NCT00130338,Novartis,An Open-label Extension to Evaluate the Efficacy and Safety of Rivastigmine Capsules in Patients With Probable Vascular Dementia,"The goal of this research study is to evaluate, in the open-label extension phase, the effectiveness, tolerability and safety of rivastigmine capsules in males and females between the ages of 50 and 85 years old with probable vascular dementia.",2002,2,Phase 3,521,Completed,"Dementia, Vascular"
3612,NCT00130351,Novartis,A 3-week Multicenter Study Investigating Patient Use and Functionality of Formoterol in a Novel Inhalation Device in Patients With Asthma,This study is designed to investigate the ability of patients with asthma to properly use a new multi-dose dry powder inhaler (MDDPI) device in a real-life situation.,2005,7,Phase 3,155,Completed,Asthma
3613,NCT00130364,Novartis,Efficacy and Safety of Pimecrolimus Cream 1% in Patients (2 to 11 Years Old) With Mild to Moderate Facial Atopic Dermatitis,"This study is not being conducted in the United States of America (USA). Atopic dermatitis, also called eczema, is characterized by redness, papulation (skin elevation) and pruritus (skin itching). The active ingredient of pimecrolimus inhibits T-cell activation. These cells are involved in the inflammatory component of the disease. This study will test the safety and efficacy of pimecrolimus cream 1% in atopic dermatitis of the face in patients intolerant of, or dependent on, topical corticosteroids.",2005,8,Phase 4,200,Completed,"Dermatitis, Atopic"
3614,NCT00130845,Novartis,"A Randomized, Controlled Study on the Efficacy and Safety of Octreotide Acetate in Microspheres in the Therapy of Patients With Moderately Severe or Severe Non-proliferate Diabetic Retinopathy (NPDR) or Low Risk Proliferative Diabetic Retinopathy (PDR)","The most common ocular disease in patients with diabetes, diabetic retinopathy, is present in approximately 40% of diabetic patients; about 8% of diabetic patients have vision threatening diabetic retinopathy. Although intensive control of blood glucose has been shown to reduce the development and progression of diabetic retinopathy, intensive control of glucose is usually not achieved in clinical practice.",2000,2,Phase 3,312,Completed,Diabetic Retinopathy
3615,NCT00131118,Novartis,Efficacy and Safety of Zoledronic Acid in Children (1 -17 Years) With Severe Osteogenesis Imperfecta,This is an extension study to examine the long-term safety and efficacy of zoledronic acid in patients who have completed the core CZOL446H2202 study.,2004,7,Phase 2,127,Completed,Osteogenesis Imperfecta
3616,NCT00131144,Novartis,"A Randomized, Controlled Study on the Efficacy and Safety of Octreotide Acetate in Microspheres in the Therapy of Patients With Moderately Severe or Severe Non-proliferate Diabetic Retinopathy (NPDR) or Low Risk Proliferative Diabetic Retinopathy (PDR)","The most common ocular disease in patients with diabetes, diabetic retinopathy, is present in approximately 40% of diabetic patients; about 8% of diabetic patients have vision threatening diabetic retinopathy. Although intensive control of blood glucose has been shown to reduce the development and progression of diabetic retinopathy, intensive control of glucose is usually not achieved in clinical practice.",1999,11,Phase 3,583,Completed,Diabetic Retinopathy
3617,NCT00131742,Novartis,"A Phase III Randomized, Double Blind Trial of LdT (Telbivudine) Versus Lamivudine in Chinese Adults With Compensated Chronic Hepatitis B",This study is being conducted to compare the effectiveness and safety of telbivudine (LdT) and lamivudine in Chinese adults.,2004,7,Phase 3,0,Completed,"Hepatitis B, Chronic"
3618,NCT00132652,Novartis,A Randomized Trial of Switching Antiviral Therapy From Lamivudine to Telbivudine (LdT) vs. Continued Lamivudine Treatment in Adults With Chronic Hepatitis B,This study is being conducted to compare the safety and effectiveness of switching treatment from lamivudine to telbivudine (LdT) against continued lamivudine treatment. Results from patients who were taking lamivudine and then switched to telbivudine will be compared with the results from patients who continued on lamivudine alone.,2005,2,Phase 3,240,Completed,"Hepatitis B, Chronic"
3619,NCT00132808,Novartis,"A 2-year Randomized, Multicenter, Double-blind, Placebo-controlled Study to Determine the Efficacy and Safety of Intravenous Zoledronic Acid 5 mg Administered Either Annually at Randomization and 12 Months, or Administered at Randomization Only in the Prevention of Bone Loss in Postmenopausal Women With Osteopenia",Osteoporosis prevention is important in patients with osteopenia (low bone density). This study will test the safety and efficacy of zoledronic acid in patients diagnosed with osteopenia.,2004,7,Phase 3,581,Completed,"Bone Diseases, Metabolic"
3620,NCT00133627,Novartis,Safety and Efficacy Comparison Ketotifen Ophthalmic Solution in Patients With Seasonal Allergic Conjunctivitis,"Medications available for the treatment of seasonal allergic conjunctivitis include antihistamines. These medicines block the release of histamine, a substance in the body that is released when an allergic reaction occurs. Novartis (NVS) has developed an eye drop formulation of a well tried antihistamine called ketotifen. This study will compare the efficacy and the tolerability of ketotifen eye drops with emedastine, which is a popular treatment for seasonal allergic conjunctivitis in China.",2005,4,Phase 4,229,Completed,"Conjunctivitis, Allergic"
3621,NCT00134953,Novartis,Efficacy and Safety of Rivastigmine in Patients With Mild Cognitive Impairment,This study is designed to investigate the efficacy and safety of rivastigmine compared with placebo in patients with mild cognitive impairment (MCI).,2003,1,Phase 3,24,Terminated,Cognitive Dysfunction
3622,NCT00134966,Novartis,"A 39 Week Randomized, Double-Blind, Parallel Group, Multicenter Study to Evaluate the Effect of Fixed Dose Carbidopa/Levodopa/Entacapone 100 mg t.i.d. vs. Immediate Release Carbidopa/Levodopa 25/100 mg (t.i.d.) in Parkinson's Disease Patients Requiring Levodopa","The purpose of this study is to achieve approval for the use of carbidopa/levodopa/entacapone in early Parkinson's disease (PD) by demonstrating that when used as initial levodopa therapy in early PD, carbidopa/levodopa/entacapone provides significantly greater symptomatic benefit than immediate release carbidopa/levodopa administered at the same levodopa dosage level of 100 mg three times a day (t.i.d.).",2005,8,Phase 3,493,Completed,Parkinson Disease
3623,NCT00134979,Novartis,"Efficacy and Safety of Formoterol Certihaler, Tiotropium HandiHaler and Tiotropium HandiHaler in Combination With Formoterol Certihaler in Patients With Stable Chronic Obstructive Pulmonary Disease","This study is not being conducted in the United States. This study is designed to provide efficacy and safety data for formoterol 10µg twice-a-day (b.i.d.) delivered by the Certihaler in patients with chronic obstructive pulmonary disease (COPD). This study is also designed to compare the efficacy and safety of therapy with formoterol (Certihaler)10µg b.i.d. added to tiotropium (HandiHaler) 18µg once daily (o.d.) compared with tiotropium (HandiHaler) 18µg o.d. monotherapy, and to compare the safety and efficacy of formoterol 10µg b.i.d. (Certihaler) with tiotropium 18µg o.d. (HandiHaler).",2004,10,Phase 4,847,Completed,"Pulmonary Disease, Chronic Obstructive"
3624,NCT00135005,Novartis,"A Phase I Multicenter, Dose Escalation Study of AMN107 in Combination With Imatinib on a Continuous Daily Dosing Schedule in Adult Patients With Imatinib-resistant Gastrointestinal Stromal Tumors (GIST)","This study is an open-label, multicenter, Phase I dose-escalation study of the combination of AMN107 and imatinib (STI571) in patients with imatinib-resistant GIST. This study is designed to determine the Phase II dose of AMN107 and imatinib when administered together in patients with imatinib-resistant GIST, and to characterize the safety, tolerability and pharmacokinetic (PK) profile of this combination.",2005,8,Phase 1,59,Completed,Gastrointestinal Stromal Tumors
3625,NCT00135837,Novartis,"An Open-Label, Multicenter, Phase 4 Study of the Effect of Verteporfin for Injection Therapy in Subjects With Occult With No Classic Choroidal NeoVascularization Secondary to Age-Related Macular Degeneration","Age related macular degeneration is the leading cause of blindness for people over 50 in the western world. Blood vessels which start to grow form a lesion in the back of the eye. Verteporfin may stabilize the disease, by closing the blood vessels. This study will assess the efficacy and safety of verteporfin in patients with occult only lesions.",2003,6,Phase 4,202,Completed,Macular Degeneration
3626,NCT00136773,Novartis,Effects of Amlodipine/Benazepril on Albuminuria in Hypertensive Patients With Type 2 Diabetes Mellitus,"Type 2 diabetes mellitus is usually associated with high blood pressure, which is a risk factor for kidney disease. Aggressive blood pressure reduction is an important strategy to protect the kidney and reduce urinary protein which develops with kidney disease. This study will evaluate the effects of amlodipine/benazepril in reducing blood pressure and urinary protein in hypertensive subjects with type 2 diabetes mellitus.",2003,4,Phase 4,332,Completed,Albuminuria
3627,NCT00136799,Novartis,Efficacy and Safety of Fluvastatin in Different Doses in Adults With Mixed Dyslipidemia or Primary Hypercholesterolemia,The purpose of the study is to evaluate the safety and tolerability of fluvastatin 80 mg in a Chinese population. This study is not recruiting patients in the US.,2005,6,Phase 3,325,Completed,Hypercholesterolemia
3628,NCT00136851,Novartis,"A 6-Week Multi-center, Randomized, Double-Blind, Parallel Group Study Comparing the Efficacy of Amlodipine Besylate/Benazepril Versus Amlodipine in the Treatment of Severe Hypertension",This trial is designed to study the efficacy of an amlodipine besylate/benazepril treatment regimen versus an amlodipine treatment regimen in the treatment of severe hypertension.,2004,12,Phase 4,259,Completed,Hypertension
3629,NCT00138515,Novartis,Extension to a Study on the Efficacy and Safety of Vildagliptin in Combination With Metformin in Patients With Type 2 Diabetes,"Many people with type 2 diabetes cannot maintain target blood glucose levels when taking a single oral drug. This is a 28-week extension to a study to assess the safety and effectiveness of vildagliptin, an unapproved drug, in lowering overall blood glucose levels when added to metformin in people with type 2 diabetes who are not at target blood glucose levels on metformin alone. The purpose of the extension study is to gather data on the long-term safety and effectiveness of vildagliptin in people with type 2 diabetes.",2004,11,Phase 3,418,Completed,"Diabetes Mellitus, Type 2"
3630,NCT00138528,Novartis,Other Effects of Fluvastatin Are Investigated in Patients With Metabolic Syndrome,Other effects of fluvastatin are investigated in German patients with metabolic syndrome.,2004,10,Phase 4,55,Completed,Metabolic Syndrome X
3631,NCT00138541,Novartis,Extension to a Study to Assess the Efficacy and Safety of Three Doses of Vildagliptin in Patients With Type 2 Diabetes,"This is a 28-week extension to a study of the safety and effectiveness of three doses of vildagliptin, an unapproved drug, compared to placebo in lowering overall blood glucose levels in people with type 2 diabetes who have not been previously treated with drug therapy to lower their blood sugar. The purpose of the extension study is to gather long-term safety and efficacy data for vildagliptin in people with type 2 diabetes.",2004,10,Phase 3,440,Completed,"Diabetes Mellitus, Type 2"
3632,NCT00138554,Novartis,Extension to a Study on the Efficacy and Safety of Vildagliptin in Combination With Pioglitazone in Patients With Type 2 Diabetes,"Many people with type 2 diabetes cannot maintain target blood glucose levels when taking a single oral drug. This is a 28-week extension to a study to assess the safety and effectiveness of vildagliptin, an unapproved drug, in lowering overall blood glucose levels when added to pioglitazone in people with type 2 diabetes not at target blood glucose levels on pioglitazone or rosiglitazone alone. The purpose of the extension study is to gather data on the long-term safety and effectiveness of vildagliptin in people with type 2 diabetes.",2004,11,Phase 3,318,Completed,"Diabetes Mellitus, Type 2"
3633,NCT00138567,Novartis,Extension to a Study on the Efficacy and Safety of Vildagliptin Compared to Metformin in Drug Naive Patients With Type 2 Diabetes,"This is a 52-week extension to a study to assess the safety and effectiveness of vildagliptin, an unapproved drug, compared to metformin in lowering overall blood glucose levels in people with type 2 diabetes who have not been previously treated with drug therapy to lower their blood sugar. The purpose of the extension study is to gather data on the long-term safety and effectiveness of vildagliptin in people with type 2 diabetes.",2005,1,Phase 3,530,Completed,"Diabetes Mellitus, Type 2"
3634,NCT00138580,Novartis,Extension to a Study on the Efficacy and Safety of Vildagliptin in Combination With Glimepiride in Patients With Type 2 Diabetes,"Many people with type 2 diabetes cannot maintain target blood glucose levels when taking a single oral drug. This is a 28-week extension to a study to assess the safety and effectiveness of vildagliptin, an unapproved drug, in lowering overall blood glucose levels when added to glimepiride in people with type 2 diabetes not at target blood glucose levels on a sulfonylurea alone. The purpose of the extension study is to gather data on the long-term safety and effectiveness of vildagliptin in people with type 2 diabetes.",2004,11,Phase 3,345,Completed,"Diabetes Mellitus, Type 2"
3635,NCT00138593,Novartis,Extension to a Study of the Efficacy and Safety of Vildagliptin in Patients With Type 2 Diabetes With HbA1c 9-11%,"This study is not being conducted in the United States. This is a 52-week extension to a study to assess the safety and effectiveness of two doses of vildagliptin, an unapproved drug, in lowering overall blood glucose levels in people with type 2 diabetes who had not previously been treated with drug therapy to lower their blood sugar and whose blood sugar levels were in a specified range. The purpose of the extension study is to gather data on the long term safety and effectiveness of vildagliptin in people with type 2 diabetes.",2004,7,Phase 3,180,Completed,"Diabetes Mellitus, Type 2"
3636,NCT00138606,Novartis,Extension to a Study on the Efficacy and Safety of Vildagliptin in Combination With Insulin in Patients With Type 2 Diabetes,"Many people with type 2 diabetes cannot maintain their target blood glucose levels on a single therapy. This is a 28-week extension to a study to assess the safety and effectiveness of vildagliptin, an unapproved drug, in lowering overall blood glucose levels when added to insulin in people with type 2 diabetes who are not at target blood glucose levels on insulin alone. The purpose of the extension study is to gather data on the long-term safety and effectiveness of vildagliptin in people with type 2 diabetes.",2005,1,Phase 3,179,Completed,"Diabetes Mellitus, Type 2"
3637,NCT00138619,Novartis,Extension to a Study on the Efficacy and Safety of Vildagliptin Compared to Rosiglitazone in Drug Naive Patients With Type 2 Diabetes,"This is an 80-week extension to a study to assess the safety and effectiveness of vildagliptin, an unapproved drug, compared to rosiglitazone in lowering overall blood glucose levels in people with type 2 diabetes who have not previously been treated with drug therapy to lower their blood sugar. The purpose of the extension study is to gather data on the long-term safety and effectiveness of vildagliptin in people with type 2 diabetes.",2004,11,Phase 3,478,Completed,"Diabetes Mellitus, Type 2"
3638,NCT00138632,Novartis,"A Randomized, Double-Masked, Multicenter, Phase I/II Study of the Safety of PTK787 Administered to Patients With Predominantly Classic , Minimally Classic or Occult With no Classic Subfoveal Choroidal Neovascularization Secondary to Age-Related Macular Degeneration","This study evaluates the tolerability and safety of 3 months treatment with PTK787 tablets given daily. It also explores the efficacy of the compound in patients with wet age-related macular edema. In Cohort 1 verteporfin/PDT is the active control. The protocol was amended to reflect the current standard of care for AMD. As a result, ranibizumab is the active control for Cohort 2.",2005,9,Phase 1/Phase 2,50,Completed,Macular Degeneration
3639,NCT00139555,Novartis,Effects of Amlodipine/Benazepril in Reducing Left Ventricular Hypertrophy in Patients With High Risk Hypertension,"Left ventricular hypertrophy (LVH) increases the risk of cardiovascular morbidity and mortality in patients with high blood pressure, compared to those without LVH. Reduction of left ventricular mass (LVM) with antihypertensive agents is associated with improved clinical outcome. This study will evaluate the effects of amlodipine/benazepril in reducing LVM in patients with high risk hypertension.",2004,7,Phase 4,125,Completed,Hypertension
3640,NCT00139568,Novartis,An Evaluation of the Efficacy and Safety of Tegaserod 6 mg Bid Given Orally to Chinese Patients With Chronic Constipation,Tegaserod is an aminoguanidine indole compound and a member of a new class of 5-hydroxytryptamine (5-HT) agonists. Activation of 5-HT4 receptors triggers the release of neurotransmitters from the enteric nerves which in turn stimulate contractility and peristalsis. This study will investigate the efficacy and safety of tegaserod against chronic constipation in a Chinese population of adult men and women,2005,2,Phase 3,600,Completed,Constipation
3641,NCT00139581,Novartis,Comparison of Pimecrolimus Cream 1% Twice-Daily to Once-Daily Dosing in the Management of Atopic Dermatitis in Pediatric Subjects,"This study is not being conducted in the United States. To investigate the relative efficacy of pimecrolimus cream 1% applied twice daily (b.i.d.) versus once daily (o.d.) in preventing the progression to disease ""relapse"".",2004,9,Phase 4,0,Completed,"Dermatitis, Atopic"
3642,NCT00139594,Novartis,"A 52-week, Open-label Extension Study to Evaluate the Safety and Tolerability of Licarbazepine in the Treatment of Manic Episodes of Bipolar I Disorder",This extension study is designed to assess the long-tem tolerability and safety of licarbazepine in patients who completed the 6-week double-blind study CLIC477D2303.,2004,12,Phase 4,181,Completed,Bipolar Disorder
3643,NCT00141089,Novartis,Assessment of Efficacy and Safety of Tegaserod in Male Patients With Chronic Constipation.,Tegaserod (HTF919) is an aminoguanidine indole compound and a member of a class of subgroup-selective 5-hydroxytryptamine (5-HT) agonists. The aim of this study was to evaluate the efficacy and safety of tegaserod on bowel habits in male patients with chronic constipation.,2004,3,Phase 3,1026,Completed,Constipation
3644,NCT00142298,Novartis,An Open Label Trial of Telbivudine (LdT) in Adults With Chronic Hepatitis B Previously Treated in Idenix-Sponsored Telbivudine Studies,"This trial is being conducted as an open-label, extended-term study for patients with chronic hepatitis B who have previously completed an Idenix-sponsored trial with telbivudine.",2005,3,Phase 3,1869,Completed,"Hepatitis, Chronic"
3645,NCT00142974,Novartis,Assessment of the Effect of Tegaserod (2 mg Tid and 6 mg Tid) on Dyspeptic Symptoms in Diabetic Patients With Symptoms of Diabetic Gastropathy,"This study is being done to evaluate the safety, tolerability and satisfactory relief of tegaserod against dyspeptic symptoms in diabetic patients with symptoms of diabetic gastropathy.",2004,5,Phase 2,120,Terminated,Stomach Diseases
3646,NCT00142987,Novartis,"Efficacy of Tegaserod in Relieving the Symptoms of Female Patients With Irritable Bowel Syndrome (IBS), Excluding Those With Predominant Diarrhea IBS","Recent literature has demonstrated that the group of IBS sufferers who experience mixed bowel habits may be more similar to IBS-C patients than IBS-D patients. This study will evaluate the efficacy and safety of tegaserod 6 mg b.i.d. in women with IBS and mixed bowel habits, excluding those with predominant diarrhea.",2004,4,Phase 4,664,Completed,Irritable Bowel Syndrome
3647,NCT00143026,Novartis,Study to Compare the Effect of Treatment With Carbidopa/Levodopa/Entacapone on the Quality of Life of Patients With Parkinson's Disease.,"This study examines the effect of treatment of levodopa/entacapone on quality of life, as measured by the Parkinson's Disease-Questionnaire 8 (PDQ-8), in Parkinson's disease patients with no or minimal, non-disabling motor fluctuations.",2005,7,Phase 4,184,Completed,Parkinson Disease
3648,NCT00145275,Novartis,To Assess the Efficacy of Over-the-counter Analgesics in the Prevention/Treatment of Transient Post-dose Symptoms Following Zoledronate Infusion in Post-menopausal Women,"Zoledronic acid is a medicine being studied in people with low bone mass. Side effects such as headache, fever, muscle aches, and pains, may occur following the infusion. This study will investigate the use of over-the-counter medicines to improve these symptoms.",2004,12,Phase 3,455,Completed,"Bone Diseases, Metabolic"
3649,NCT00145301,Novartis,"A 52-week, International, Multi-center, Randomized, Double-blind, Double-dummy, Parallel-group Clinical Trial to Compare Retention on Treatment, Safety, Tolerability and Efficacy of Lumiracoxib 100 mg od, Lumiracoxib 100 mg Bid and Celecoxib 200 mg od in Patients With Primary Osteoarthritis of Hip, Knee, Hand or Spine",This trial will compare the retention on treatment (based on the rate of patients staying on treatment for 1 year) of patients suffering from primary osteoarthritis using two different doses of lumiracoxib (100 mg od or 100 mg bid) or using celecoxib (200 mg od),2004,9,Phase 3,3036,Completed,Osteoarthritis
3650,NCT00145327,Novartis,"A 3-year, Double-blind Extension to CZOL446H2301 to Evaluate the Long-term Safety and Efficacy of Zoledronic Acid in the Treatment of Osteoporosis in Postmenopausal Women Taking Calcium and Vitamin D",This extension study is designed to assess the long term safety and efficacy of zoledronic acid in postmenopausal women with osteoporosis who have participated in the CZOL446H2301 (NCT00049829): HORIZON Pivotal Fracture Trial. This extension study began after the 3-year core study ended. Baseline is the same as Year 3.,2005,5,Phase 3,2456,Completed,Osteoporosis
3651,NCT00149851,Novartis,"A Study to Assess the Efficacy, Safety and Tolerability of Tegaserod Alone and in Combination With Omeprazole Given Orally in Patients With Symptoms of Symptomatic Gastroesophageal Reflux Disease (sGERD)",Gastroesophageal Reflux Disease (GERD) is a common disorder caused by the reflux of gastric (stomach) acid into the esophagus. The exposure of the lining of the esophagus to the acid will cause damage to the esophagus over time. The symptoms of GERD include heartburn and acid regurgitation This study will determine if Tegaserod alone and in combination with omeprazole is safe and relieves the symptoms of heartburn.,2004,1,Phase 2,832,Completed,Gastroesophageal Reflux
3652,NCT00149877,Novartis,"Efficacy, Safety and Tolerability of Tegaserod in Patients With Chronic Constipation","Tegaserod (HTF919) is an aminoguanidine indole compound and a member of a new class of subgroup-selective 5-hydroxytryptamine (5-HT) agonists. The aim of this study is to investigate the efficacy, safety and tolerability of tegaserod on bowel habits in patients with CC.",2004,4,Phase 4,250,Completed,Constipation
3653,NCT00150059,Novartis,,To evaluate the efficacy and safety of pimecrolimus cream 1% in its registered indication (treatment of patients > 3 months of age with mild to moderate atopic dermatitis) This study is not enrolling patients in the United States.,2004,12,Phase 4,0,Completed,"Dermatitis, Atopic"
3654,NCT00150072,Novartis,Phase II Study of Imatinib Mesylate in Chordoma,"Preliminary response data, observed by Casali (Cancer, 2004) with imatinib 800 mg/day in patients affected by chordoma, need to be confirmed by a Phase II study, whose primary endpoint will be the formal assessment of clinical and pathological response. Aim of the study will be to explore treatment's activity, but also the potential impact of tumor response, the feasibility and outcome of subsequent surgery and radiotherapy. In addition, patterns of tumour response need to be investigated as well, given the peculiar patterns of response shown with molecular-targeted therapy in solid tumors.",2004,10,Phase 2,55,Completed,Chordoma
